Date,Close,signal,proba_up
2021-02-20,55841.19,0,0.27343984961507184
2021-02-21,57408.57,0,0.34795823829805167
2021-02-22,54087.67,0,0.4293438698677589
2021-02-23,48891.0,0,0.6268740118951233
2021-02-24,49676.2,0,0.6623624515888956
2021-02-25,47073.73,0,0.7132070243728993
2021-02-26,46276.87,1,0.678389543845527
2021-02-27,46106.43,0,0.7731945207962546
2021-02-28,45135.66,0,0.7804560899139803
2021-03-01,49587.03,0,0.40943178930024493
2021-03-02,48440.65,1,0.8035731853215519
2021-03-03,50349.37,0,0.675701105507809
2021-03-04,48374.09,1,0.8400545093758826
2021-03-05,48751.71,1,0.6453385823533913
2021-03-06,48882.2,1,0.6909703292188207
2021-03-07,50971.75,0,0.6949878184125092
2021-03-08,52375.17,0,0.7850098895337401
2021-03-09,54884.5,0,0.6505715504038722
2021-03-10,55851.59,0,0.546386063669376
2021-03-11,57773.16,0,0.6120080313540776
2021-03-12,57221.72,0,0.598450623206539
2021-03-13,61188.39,0,0.5654287219559305
2021-03-14,58968.31,0,0.777066151986013
2021-03-15,55605.2,0,0.7778245797676043
2021-03-16,56900.75,0,0.5707116677751682
2021-03-17,58912.97,0,0.4673005038456224
2021-03-18,57648.16,0,0.7686123449721205
2021-03-19,58030.01,0,0.6463078920068954
2021-03-20,58102.28,0,0.5800954319289743
2021-03-21,57351.56,0,0.6299898488915148
2021-03-22,54083.25,0,0.8516731096248986
2021-03-23,54340.89,0,0.6967523153528055
2021-03-24,52303.65,0,0.8504779880001249
2021-03-25,51293.78,0,0.7941639468129216
2021-03-26,55025.59,0,0.4858335821477917
2021-03-27,55817.14,1,0.7412696771892135
2021-03-28,55777.63,1,0.6971524688828231
2021-03-29,57635.47,0,0.8095119896456177
2021-03-30,58746.57,0,0.6355324914377836
2021-03-31,58740.55,0,0.5739336612951905
2021-04-01,58720.44,0,0.7826618274345103
2021-04-02,58950.01,0,0.6573670669492332
2021-04-03,57051.94,0,0.5793187063785029
2021-04-04,58202.01,0,0.581584047441932
2021-04-05,59129.99,0,0.7636214204466923
2021-04-06,57991.15,0,0.5636724688503575
2021-04-07,55953.45,0,0.6820127653231253
2021-04-08,58077.52,0,0.6607398028899122
2021-04-09,58142.54,0,0.49168484323031897
2021-04-10,59769.13,0,0.5997318796347891
2021-04-11,60002.43,0,0.6245089522002415
2021-04-12,59860.0,0,0.7079858607620819
2021-04-13,63575.0,0,0.49148455163145144
2021-04-14,62959.53,0,0.4658816698008603
2021-04-15,63159.98,0,0.4987410554623378
2021-04-16,61334.8,0,0.6239234392307933
2021-04-17,60006.66,0,0.5694883779455764
2021-04-18,56150.01,0,0.6828632353283347
2021-04-19,55633.14,1,0.7849496436898039
2021-04-20,56425.0,1,0.6177800786507691
2021-04-21,53787.63,1,0.7379456243277719
2021-04-22,51690.96,1,0.8534036015884017
2021-04-23,51125.14,0,0.8192021301484724
2021-04-24,50047.84,0,0.8206427777828604
2021-04-25,49066.77,0,0.7678715090050924
2021-04-26,54001.39,0,0.5018020909704664
2021-04-27,55011.97,1,0.7416940688283494
2021-04-28,54846.22,1,0.7921605494568514
2021-04-29,53555.0,1,0.7989501016535288
2021-04-30,57694.27,1,0.5477907958898396
2021-05-01,57800.37,0,0.6584800991611396
2021-05-02,56578.21,0,0.589664172004607
2021-05-03,57169.39,0,0.5994351092263089
2021-05-04,53200.01,0,0.7113536705280874
2021-05-05,57436.11,0,0.45475390523900105
2021-05-06,56393.68,0,0.6177618721717616
2021-05-07,57314.75,0,0.554165370560603
2021-05-08,58862.05,0,0.5224226643438694
2021-05-09,58240.84,0,0.6785888496012422
2021-05-10,55816.14,0,0.647901961992646
2021-05-11,56670.02,0,0.6734490060024333
2021-05-12,49631.32,0,0.8729753253515851
2021-05-13,49670.97,0,0.7429953229311499
2021-05-14,49841.45,0,0.6687662868478438
2021-05-15,46762.99,0,0.7714043532794808
2021-05-16,46431.5,0,0.871467468407398
2021-05-17,43538.04,0,0.8715093825208695
2021-05-18,42849.78,0,0.8797092468496294
2021-05-19,36690.09,0,0.8924393037228818
2021-05-20,40526.64,1,0.6727031121200846
2021-05-21,37252.01,0,0.9160822605271468
2021-05-22,37449.73,0,0.8670916859090769
2021-05-23,34655.25,0,0.9219612090282483
2021-05-24,38796.29,0,0.7197458621266815
2021-05-25,38324.72,1,0.8765042981198993
2021-05-26,39241.91,1,0.7573999185939989
2021-05-27,38529.98,1,0.8131430101325929
2021-05-28,35663.49,1,0.8577786492493442
2021-05-29,34605.15,1,0.8412127388099974
2021-05-30,35641.27,1,0.6450926464610971
2021-05-31,37253.81,1,0.7071448800226651
2021-06-01,36693.09,1,0.6835944995305936
2021-06-02,37568.68,1,0.6937284356049574
2021-06-03,39246.79,1,0.6449882620035307
2021-06-04,36829.0,0,0.736117573118614
2021-06-05,35513.2,1,0.6192940013472265
2021-06-06,35796.31,1,0.6308259040346628
2021-06-07,33552.79,1,0.754676882814619
2021-06-08,33380.81,0,0.707538517495511
2021-06-09,37388.05,0,0.5612347444311645
2021-06-10,36675.72,0,0.6072933228685575
2021-06-11,37331.98,0,0.517504352248635
2021-06-12,35546.11,0,0.5886917364746581
2021-06-13,39020.57,0,0.49017915364000203
2021-06-14,40516.29,0,0.6874085468225147
2021-06-15,40144.04,0,0.6156551306668756
2021-06-16,38349.01,1,0.6273062435519146
2021-06-17,38092.97,1,0.6310197926503016
2021-06-18,35819.84,0,0.7192272993949403
2021-06-19,35483.72,0,0.6379218512719456
2021-06-20,35600.16,0,0.6809228260083182
2021-06-21,31608.93,0,0.7146617517924524
2021-06-22,32509.56,0,0.5763697066950781
2021-06-23,33678.07,0,0.5763027840051271
2021-06-24,34663.09,0,0.7483783712177875
2021-06-25,31584.45,0,0.858288583166821
2021-06-26,32283.65,0,0.5712395034370352
2021-06-27,34700.34,0,0.45160201185733
2021-06-28,34494.89,0,0.6928305493369776
2021-06-29,35911.73,0,0.5105959759682928
2021-06-30,35045.0,1,0.6578141993550087
2021-07-01,33504.69,1,0.6460126186960112
2021-07-02,33786.55,0,0.6568530243983558
2021-07-03,34669.13,0,0.5358495754264572
2021-07-04,35286.51,0,0.514482016913704
2021-07-05,33690.14,0,0.6952473218352057
2021-07-06,34220.01,0,0.6227583544654344
2021-07-07,33862.12,0,0.6526951144612623
2021-07-08,32875.71,0,0.773997936807972
2021-07-09,33815.81,0,0.40258070959981923
2021-07-10,33502.87,0,0.6743202494105544
2021-07-11,34258.99,0,0.46546476742130194
2021-07-12,33086.63,0,0.6742699438733005
2021-07-13,32729.77,0,0.6255592902007304
2021-07-14,32820.02,0,0.6594411453118735
2021-07-15,31880.0,0,0.7000740254141465
2021-07-16,31383.87,0,0.6997545149269784
2021-07-17,31520.07,0,0.6354296371545755
2021-07-18,31778.56,0,0.6401175930531277
2021-07-19,30839.65,0,0.7993172513574389
2021-07-20,29790.35,0,0.8224562654950591
2021-07-21,32144.51,0,0.6182327756205503
2021-07-22,32287.83,0,0.600657304970118
2021-07-23,33634.09,0,0.5618888712798323
2021-07-24,34258.14,0,0.48154447058385397
2021-07-25,35381.02,0,0.5356705381501038
2021-07-26,37237.6,0,0.5171454821109485
2021-07-27,39457.87,0,0.46879756695817604
2021-07-28,40019.56,0,0.6346263693944802
2021-07-29,40016.48,0,0.5816499535436221
2021-07-30,42206.37,0,0.489349858217971
2021-07-31,41461.83,1,0.6656665552211801
2021-08-01,39845.44,1,0.7394988842922539
2021-08-02,39147.82,1,0.6527314110595421
2021-08-03,38207.05,1,0.6580661641692999
2021-08-04,39723.18,0,0.49637659415546226
2021-08-05,40862.46,0,0.5255691239026306
2021-08-06,42836.87,0,0.48356191983847635
2021-08-07,44572.54,0,0.4996142502663294
2021-08-08,43794.37,1,0.6586144590016969
2021-08-09,46253.4,1,0.5484976819446946
2021-08-10,45584.99,1,0.6775538102844311
2021-08-11,45511.0,1,0.7253593463085013
2021-08-12,44399.0,1,0.6940652553891998
2021-08-13,47800.0,0,0.38999737211393704
2021-08-14,47068.51,0,0.48886131850358683
2021-08-15,46973.82,1,0.6220807452974481
